Reader Query ,source_doc,"Information Retrieved from 
source",relatednesses_score,LLM Response 
,"Diabetic Ulcer Prevention To reduce the risk of wounds, regular foot care is important for those with diabetes. Take these steps to reduce foot injuries and wounds: • Check your feet every day for red spots, cuts, swelling or blisters. • Use a mirror or get help to inspect the bottom of your feet. • Wash your feet every day and dry them carefully, especially between the toes. • Moisturise your feet daily, ideally after washing, to keep the skin soft and smooth. • Massage a thin coat of lotion over the top and bottom of your feet, but not between the toes as the skin is thinner and more prone to splitting.  • File away hard skin patches on the sole of the feet or toes at least once a week to prevents foot ulcers from forming underneath. • Keep toenails trimmed to prevent them from cutting into your toes. • Cut toenails straight across and file the edges, never into the sides as this causes ingrown nails. • Always wear shoes and socks, and never walk barefoot to prevent injuries. • Ensure shoes are comfortable and fit well. • Maintain good blood circulation to the feet by putting your feet up when sitting, and by wiggling your toes and moving your ankles for at least five minutes, two to three times a day. • Don't cross your legs for long periods of time. • Don’t smoke. Smoking does great harm to blood circulation and increases the risk of many diseases. 

If you are diabetic, regular foot examinations are important to prevent foot and leg ulcers, and to ensure your feet are in good health. Your podiatrist will check for: • Any loss of sensation • The level of blood flow to the feet • Any changes in the shape of your foot to assess the development of pressure points 

All these will help detect changes in any foot condition, and will help ensure that early preventive treatment or management can be given to prevent wounds from occurring or getting worse. 


This article titled ""Sole Saviours"" was first published in ONEHealth Magazine, Issue 6, 2015.",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetic-ulcer,0.848631042,
,"Poorly-controlled diabetes can result in nerve damage, commonly affecting the foot and legs. In addition, circulation may also be compromised in diabetic patients. This may result in the development of diabetic foot ulcers, diabetic foot infections, or deformity of the feet.Diabetic Foot Screening Early identification and intervention of those at risk of diabetic foot ulcers and other foot infections will prevent complications and reduce the number of amputations.A team of registered assistant nurses at polyclinics are specially trained to perform diabetic foot screening. They are able to:• Identify and screen diabetic foot symptoms • Reduce the risk of foot complications by providing education on proper foot care and good glycaemic (blood sugar level) control• Refer patients who are at risk to podiatrists for early interventionDiabetic Foot Care Regular care of your feet should minimise the risk of incurring diabetic complications with them. This is what you should do to look after them:• Check your feet and toes every day for cuts, sores, corns or blisters. If you cannot see the soles of your feet, use a mirror or ask someone to help you.• See your doctor immediately if you hurt your feet or if your foot changes colour or looks different.• Choose shoes that are comfortable and fit well, and always wear socks/stockings to protect your feet. Never go barefoot.• Check the inside of your shoes before wearing them to ensure the lining is smooth and there are no sharp edges or objects inside.• Wash your feet every day with water and mild soap — but do not soak them; check that the water is not too hot to prevent scalding. Protect your feet from extremely hot or cold temperatures.• Dry your feet carefully, especially in between the toes. To prevent dryness and cracks, apply moisturising skin lotion all over your feet, but not between your toes.• Keep the blood flowing to your feet; put your feet up when you are sitting. Wriggle your toes and flex your feet up and down",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetic_foot_ttsh,0.837439864,
What are the foot care practises for diabetic persons ?,"Diabetic Ulcer Prevention To reduce the risk of wounds, regular foot care is important for those with diabetes. Take these steps to reduce foot injuries and wounds: • Check your feet every day for red spots, cuts, swelling or blisters. • Use a mirror or get help to inspect the bottom of your feet. • Wash your feet every day and dry them carefully, especially between the toes. • Moisturise your feet daily, ideally after washing, to keep the skin soft and smooth. • Massage a thin coat of lotion over the top and bottom of your feet, but not between the toes as the skin is thinner and more prone to splitting.  • File away hard skin patches on the sole of the feet or toes at least once a week to prevents foot ulcers from forming underneath. • Keep toenails trimmed to prevent them from cutting into your toes. • Cut toenails straight across and file the edges, never into the sides as this causes ingrown nails. • Always wear shoes and socks, and never walk barefoot to prevent injuries. • Ensure shoes are comfortable and fit well. • Maintain good blood circulation to the feet by putting your feet up when sitting, and by wiggling your toes and moving your ankles for at least five minutes, two to three times a day. • Don't cross your legs for long periods of time. • Don’t smoke. Smoking does great harm to blood circulation and increases the risk of many diseases. 

If you are diabetic, regular foot examinations are important to prevent foot and leg ulcers, and to ensure your feet are in good health. Your podiatrist will check for: • Any loss of sensation • The level of blood flow to the feet • Any changes in the shape of your foot to assess the development of pressure points 

All these will help detect changes in any foot condition, and will help ensure that early preventive treatment or management can be given to prevent wounds from occurring or getting worse. 


This article titled ""Sole Saviours"" was first published in ONEHealth Magazine, Issue 6, 2015.",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetic-ulcer,0.880732628,"The foot care practices for diabetic persons include:

1. Checking feet and toes daily for cuts, sores, corns, or blisters.
2. Seeking immediate medical attention if there is any foot injury or if the foot changes color or appearance.
3. Choosing comfortable and well-fitting shoes and always wearing socks or stockings to protect the feet.
4. Checking the inside of shoes before wearing them to ensure a smooth lining without sharp edges or objects.
5. Washing feet daily with mild soap and water, avoiding soaking them, and ensuring the water temperature is safe.
6. Drying feet carefully, especially between the toes, and applying moisturizing lotion to prevent dryness and cracks.
7. Maintaining good blood flow to the feet by elevating them when sitting and moving toes and flexing feet regularly.

These practices are crucial for preventing foot complications in individuals with diabetes and promoting overall foot health."
,"Poorly-controlled diabetes can result in nerve damage, commonly affecting the foot and legs. In addition, circulation may also be compromised in diabetic patients. This may result in the development of diabetic foot ulcers, diabetic foot infections, or deformity of the feet.Diabetic Foot Screening Early identification and intervention of those at risk of diabetic foot ulcers and other foot infections will prevent complications and reduce the number of amputations.A team of registered assistant nurses at polyclinics are specially trained to perform diabetic foot screening. They are able to:• Identify and screen diabetic foot symptoms • Reduce the risk of foot complications by providing education on proper foot care and good glycaemic (blood sugar level) control• Refer patients who are at risk to podiatrists for early interventionDiabetic Foot Care Regular care of your feet should minimise the risk of incurring diabetic complications with them. This is what you should do to look after them:• Check your feet and toes every day for cuts, sores, corns or blisters. If you cannot see the soles of your feet, use a mirror or ask someone to help you.• See your doctor immediately if you hurt your feet or if your foot changes colour or looks different.• Choose shoes that are comfortable and fit well, and always wear socks/stockings to protect your feet. Never go barefoot.• Check the inside of your shoes before wearing them to ensure the lining is smooth and there are no sharp edges or objects inside.• Wash your feet every day with water and mild soap — but do not soak them; check that the water is not too hot to prevent scalding. Protect your feet from extremely hot or cold temperatures.• Dry your feet carefully, especially in between the toes. To prevent dryness and cracks, apply moisturising skin lotion all over your feet, but not between your toes.• Keep the blood flowing to your feet; put your feet up when you are sitting. Wriggle your toes and flex your feet up and down",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetic_foot_ttsh,0.87788437,
,"It usually improves diabetes control by helping to avoid glucose levels that are “too high” or “too low”.

Reservoir

Battery-operated pump

You can adjust the insulin dose to suit your needs (e.g., change dose at mealtimes depending on what you choose to eat).

Insulin is delivered via an infusion set and cannula into the subcutaneous layer of the abdomen*

For illustration purposes only. Actual device may differ.

46

BE PROACTIVE

Foot Care

47

Poorly controlled diabetes can lead to foot complications

Nerve damage can make your foot feel numb and change its shape, increasing your risk of getting calluses and ulcers

Extremely poor blood circulation (vasculopathy) can cause wounds to heal poorly; an amputation may be required to save your life

48

Poor blood circulation (vasculopathy)

Uncontrolled blood sugar levels damage nerves over time leading to decreased foot sensation and deformity, e.g., mid-foot collapse, toe deformities, extremely arched foot

Uncontrolled blood sugar levels damage nerves over time leading to decreased foot sensation and deformity, e.g., mid-foot collapse, toe deformities, extremely arched foot

Extremely poor blood circulation

(vasculopathy) can cause problems in your extremities (hands or feet) such as cell death, tissue damage or infections • Surgeries such as angioplasty (unblocking

Decreased foot sensation, deformity, and improper or inadequate footwear increase risk of calluses and ulcers (wounds)

Decreased foot sensation, deformity, and improper or inadequate footwear increase risk of calluses and ulcers (wounds)

blood vessels), removal of damaged tissue or amputation may be required

49

Good foot care practices

Monitor feet every day

Maintain good foot care and hygiene

Moisturise hard skin areas regularly

Wear well-fitting and covered footwear

Apply simple first aid for small wound

Seek medical help if wound is not healing well, or worsens

50

Monitor feet every day

Watch out for:",https://ch-api.healthhub.sg/api/public/content/0aa3838b8eeb40e6b34a2340a65fdd03?v=eca50be0&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.856284567,
What are the recommended exercises for diabetic person ?,"A 5-7% weight loss is recommended to prevent or delay the onset of Type 2 diabetes.​

A ≥ 5% weight loss improves glucose, lipids and blood pressure control​

75

Types of interventions and expected weight loss

Type of intervention​

Expected weight loss​

Exercise only*

0 to 3%​

Diet + exercise​

3 to 10%​

Weight loss medications,​ very low calorie diet​

5 to 10%​

Endoscopic bariatric procedures​

15 to 20%​

Bariatric surgery​

25 to 30%​

(SGH Obesity Centre; Swift et al., 2018*)​

76

General considerations for individuals with obesity Lower physical activity levels are prevalent in adults who are overweight and obese This is likely due to low exercise capacity and being easily fatigued​

Modifications:​

Start slow E.g., If you are starting a walking programme, start with leisure walking instead of brisk walking.

Take breaks in between E.g., Instead of doing 20 mins of physical activity continuously, aim for 2 x 10 mins with a break in between.

Progress gradually Monitor your overall energy and fatigue levels during and the day after exercise.​ Ensure that you do not feel excessively fatigued, such that you can't carry out your normal daily routine.

(Source: Cassidy et al., 2017)

77

For individuals with coronary heart disease

78

Benefits of being physically active for individuals with Diabetes and Coronary Heart Disease

Exercising and participating in physical activity:

Improves glucose utilisation and insulin sensitivity​ • Controls weight ​ • Improves fitness​ • Reduces your risk of a cardiac event​ • Increases your chances of surviving a cardiac event

Impaired glucose control and being sedentary are major risk factors of coronary heart disease. Increasing your participation in physical activity and exercising is a modifiable factor that you can work on.

79

Precautions – what to look out for

Seek medical attention IMMEDIATELY if you experience one or more of the following symptoms before, during or after exercising:​",https://ch-api.healthhub.sg/api/public/content/70e56617c5b140139bb5cb37db3cdef0?v=a7dd48f7&_gl=1*11zfakr*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.855374437,"The recommended exercises for a person with diabetes include a combination of aerobic exercises, strength training, and flexibility exercises. Aerobic exercises such as brisk walking, cycling, swimming, or jogging help improve cardiovascular health, control weight, and enhance insulin sensitivity. Strength training exercises, like lifting weights or using resistance bands, can help build muscle mass and improve overall metabolism. Flexibility exercises, such as yoga or stretching, can improve mobility and reduce the risk of injuries. It is important for individuals with diabetes to engage in physical activities that they enjoy and can sustain in the long term to reap the benefits of regular exercise."
,"Note: If you are on insulin and sulphonylureas, it is best to consult a physiotherapist for a guided exercise session before determining the appropriate blood sugar levels for exercise, as there are many other factors to consider.

64

Monitor your blood sugar before exercising For individuals with Type 2 Diabetes

#For individuals with Type 1 diabetes, please seek advice from your health provider

< 4.0

4.0 – 5.5

5.6 – 15.0

> 15.0

mmol/L

mmol/L

mmol/L

mmol/L

If you are feeling well and have taken your usual medications, proceed to exercise with caution

Monitor your glucose trend and increase your fluid intake

65

< 4.0

4.0 – 5.5

5.6 – 15.0

> 15.0

mmol/L

mmol/L

mmol/L

mmol/L

< 4.0 mmol/L HYPOGLYCAEMIA!

4.0 - 5.5 mmol/L

Perform 15/15 rule: • 15g of fast-acting glucose e.g.,

3 teaspoons of dextrose powder/ table sugar in 120ml of water

½ glass (150ml) of fruit juice

3 soft/jelly sweets

Have your next meal within 1 hour. • Have a light snack if your next meal is more than 1 hour away.

Have your next meal within 1 hour. • Have a light snack if your next meal is more than 1 hour away.

½ can of regular soft drink

1 can of low-sugar soft drink

Check blood sugar level after 15 minutes

66

Pre-exercise Medication

Medications • Consume your medications as prescribed by your doctor.​ • Do not skip medications and attempt to replace it with exercise.​ • Consult your doctor for a medication review if you are changing your exercise

routine.

Important Medicine • If you are on insulin, sulphonylurea (e.g., gliclazide, glimepiride, glipizide and

tolbutamide) or meglitinides (e.g., repaglinide), your blood sugar levels may decrease faster as compared to other medications.​

Start easy, monitor signs and symptoms closely, and avoid prolonged exercise.​

Consult your doctor for a medication review if you experience signs and symptoms of hypoglycaemia.

67

Exercise Recommendations: For individuals with foot ulcer and lower limb pain

68",https://ch-api.healthhub.sg/api/public/content/70e56617c5b140139bb5cb37db3cdef0?v=a7dd48f7&_gl=1*11zfakr*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.854493903,
,"A healthy and balanced diet plays a key role in preventing or delaying the progression to T2DM in persons with pre-diabetes.7-12

Advise those who are overweight or obese to achieve weight loss by implementing a negative caloric balance.

Increased physical activity







Perform at least 150 minutes of moderate- intensity exercise (such as brisk walking, leisure cycling), or 75 minutes of vigorous-intensity exercise (such as jogging, fast-paced cycling, swimming laps) every week. Avoid more than two consecutive days without exercise. Engage in exercises that require intensity and that accelerate the heart rate.

Obesity and a sedentary lifestyle are major risk factors for developing T2DM and can be modified by an increase in physical activity.7-12

Pedometers or fitness trackers allow progress to be monitored over time and may provide additional motivation.13

2-hour 75-g oral glucose tolerance test (OGTT). † ‡ A standard drink is one can (330 mL) of beer, half a glass (100 mL) of wine, or one nip (30 mL) of spirits or hard liquor.

For more information on HbA1c as a screening test for diabetes mellitus in Singapore, please refer to the Ministry of Health Circular No. 08/2019.

Sustained behavioural changes

Pharmacotherapy

3

Providing information without individualised advice to bring about robust and may not be sufficient sustained intervention should therefore be tailored to each person’s needs and continuously encouraged.14

lifestyle changes. Lifestyle

Pharmacotherapy for pre-diabetes is less effective lifestyle changes and may be considered than intervention.9,15 after a trial of Discuss the benefits, side effects, and cost before commencing treatment.

intensive

lifestyle













Tailor lifestyle intervention to individual needs",https://www.ace-hta.gov.sg/docs/default-source/default-library/managing-pre-diabetes-(updated-on-27-jul-2021)c2bfc77474154c2abf623156a4b93002.pdf,0.841726537,
what are the side effects of using insulin injection ?,"A 0.3ml syringe should be used for doses up to 30 units. A 0.5ml syringe should be used for doses up to 50 units. A 1ml syringe can be used for doses up to 100 units. Disposable syringes can be used for the same person up to about two to four times. Between uses, replace the cap and put the syringe in the fridge.


Insulin PensInsulin pens combine both the needle and insulin cartridge into one. Thus, insulin injections become more convenient and you do not have to carry syringes and insulin bottles with you. 


Insulin PumpsThe insulin pump is a small computerised device that pumps insulin continuously through a fine plastic tube into a site under the skin 24 hours a day. It is just a little larger than a pocket pager.

Pump users have to monitor their blood sugar frequently so as to make adjustments to the amount of insulin delivered. The insulin pump generally gives you better control and more meal flexibility, but is costlier and requires more frequent blood sugar monitoring.

Switching to Insulin from Anti-diabetes TabletsPatients who are switched to insulin from anti-diabetes tablets often worry that their condition must be deteriorating. However, the switch to insulin was made because the diabetes was getting out of control as the tablets were failing to control the patient’s blood sugar — and the insulin will correct that.

Insulin Side Effects Taking insulin may result in some side effects. These include: • Low blood sugar • Initial weight gain  • Lumpy or scarred tissue from too many injections on the same part of the body • Rashes on the injection site or, in rare cases, all over the body
Read these next:
Diabetes Medications 

Guide to Managing Diabetes 


            This article was last reviewed on
            Wednesday, November 22, 2023
        































CONTRIBUTED BY




                        Changi General Hospital
                    
















Related A-Z",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetes-treatment-insulin,0.845359855,"The side effects of using insulin injections may include low blood sugar, initial weight gain, lumpy or scarred tissue from repeated injections in the same area of the body, and rashes at the injection site or, in rare cases, all over the body. It's important to be aware of these potential side effects and consult with your healthcare provider if you experience any concerning symptoms while using insulin injections."
,"Liver, fat tissues and muscles E.g., Pioglitazone, metformin - Reduces amount of sugar made by the liver, and increases the sensitivity of fat, liver and muscle cells to insulin

Kidneys E.g., Dapagliﬂozin, empagliﬂozin - Prevents the kidneys from re-

absorbing sugar

Intestines E.g., Acarbose - Slows down breakdown of starch and absorption of sugar from the intestines

Liver and pancreas E.g., Linagliptin, sitagliptin - Helps the pancreas produce

more insulin and reduce amount of sugar made by the liver

Pancreas E.g., Glipizide, tolbutamide, gliclazide - Helps the pancreas produce

Please visit knowyourmeds and ndf.gov.sg for more information on medication.

more insulin

38

Take your medication as prescribed

Take your medication(s) regularly at the correct time(s)

If you miss a dose, take it as soon as you remember; if it is time for the next dose, skip the missed dose

Eat meals regularly to prevent hypoglycaemia (low blood sugar)

Avoid taking alcohol with medication

Inform your healthcare professional if you are:

Taking metformin before going for any scans (e.g., CT scans) or procedures

Pregnant or planning to get pregnant before taking medication

Experiencing persistent symptoms of hypoglycaemia (low blood sugar)

39

Take your medication as prescribed

Inform your healthcare professional if you are pregnant

Your oral medications may not be

recommended for use during pregnancy and your doctor may prescribe a different medicine or insulin

40

BE PROACTIVE

Insulin Treatment

41

Types of insulin

Rapid-acting • Starts to work within 15 minutes and lasts 1-2

hours

Regular- or short-acting • Starts to work within 30 min and lasts 3 to 4 hours

Intermediate-acting • Starts to work within 1-2 hours, maximally at 4-6

hours and lasts up to 12 hours

Long-acting • Can work for an entire day (depending on the type

of long-acting insulin)

42

Inject insulin into the fatty layer beneath the skin (subcutaneous).",https://ch-api.healthhub.sg/api/public/content/0aa3838b8eeb40e6b34a2340a65fdd03?v=eca50be0&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.836813201,
,"Causes Imbalance between insulin intake and body’s physiological needs



Insulin overdose – injecting too much insulin but not eating enough carbohydrates



Ill-timed insulin intake or using the wrong type of insulin



Increased sensitivity to insulin



Increased glucose utilisation (during or shortly after exercise)

Mismatch between food intake timing and sulphonylureas (e.g., Glipizide) consumption

Mismatch between food intake timing and sulphonylureas (e.g., Glipizide) consumption

33

Hypoglycaemia: Symptoms and Severity

Mild

Moderate

Severe

Fast heartbeat

Dizziness

Unceasing hunger

despite having a full

Weakness

Blurred vision

!

and balanced meal

Headache

Sweating

Irritable

Slurred speech

Confusion and abnormal behaviour

If the individual has lost consciousness, please call an ambulance immediately!

Seizures

CANNOT self-treat

Hypoglycaemia is when the blood sugar levels are lower than the normal. This usually occurs at blood sugar levels less than 4 mmol/L. Mild: 3.1-3.9 mmol/L Moderate: less than 3.1 mmol/L Severe: Less than 2.2 mmol/L or needs help to treat (CANNOT self treat)

34

Hypoglycaemia: Treatment

What type of food to take if the person is conscious:

Fast-acting sugars

Long-acting sugars

3 teaspoons of dextrose powder/

table sugar in 120ml of water

3 pieces of biscuits • 1 slice of bread

½ can of regular soft drink

1 can of low-sugar soft drink

½ glass (150ml) of fruit juice

3 soft/jelly sweets

35

Diet/no sugar soft drinks • Sugar-free sweets • High fat snacks such as chocolate – fat slows down the movement of sugar into blood!

Diet/no sugar soft drinks • Sugar-free sweets • High fat snacks such as chocolate – fat slows down the movement of sugar into blood!

36

BE PROACTIVE

Medication

37

Medications work in different ways, on different body parts",https://ch-api.healthhub.sg/api/public/content/0aa3838b8eeb40e6b34a2340a65fdd03?v=eca50be0&_gl=1*1tq2sup*_ga*MTk3Mjg0Mjc5Ni4xNzA3Nzg5OTUw*_ga_VQW1KL2RMR*MTcxMDc1MzAxMS40LjEuMTcxMDc1NDQzMC42MC4wLjA.,0.833074866,
what are the vaccinations required for children having diabetes ?,"
                                
                                Children and adults with diabetes
                            
are recommended to get routine vaccinations.",https://www.healthxchange.sg/diabetes/living-well-diabetes/diabetes-recommended-vaccinations-children-adults,0.917373036,"Based on the provided articles, the recommended routine vaccinations for children with diabetes include:

1. Influenza vaccination
2. Pneumococcal vaccination
3. Hepatitis B vaccination

It is important for children with diabetes to receive these vaccinations to protect their health and well-being. If you have any specific concerns or need further information about vaccinations for children with diabetes, it is advisable to consult with a healthcare provider for personalized guidance."
,"What are the routine vaccinations for children and adults living with diabetes?Recommended routine vaccinations for children and adults with diabetes include:Influenza vaccinationPneumococcal vaccinationHepatitis B vaccinationWhat should I know about the influenza vaccination? Annual influenza vaccinations are recommended for people with diabetes aged ≥ 6 months. Annual vaccinations are required because immunity declines 1 year after a previous vaccination.The influenza vaccination is given as a single intramuscular injection. It provides protection against the 3 main strains of influenza which circulate during the flu season.What should I know about the pneumococcal vaccination?The pneumococcal vaccination is given as a single intramuscular injection. There are 2 types of pneumococcal vaccine available:Pneumovax 23 (PPV23)Prevenar 13 (PCV13)These vaccines protect against many strains of pneumococcus which commonly cause disease.When both vaccines are recommended, Prevenar 13 (PCV13) should be given first, followed by Pneumovax 23 (PPV23) at least a year later.“This sequence helps to achieve the strongest immunity,” says 
   Dr Bee Yong Mong, Head, SingHealth Duke-NUS Diabetes Centre, and Senior Consultant, 
   Department of Endocrinology, 
   Singapore General Hospital (SGH), a member of the",https://www.healthxchange.sg/diabetes/living-well-diabetes/diabetes-recommended-vaccinations-children-adults,0.896928446,
,"Diabetes: Recommended Vaccinations for Children and Adults - HealthXchange









































































































                                    x
                                






                                    Font size
                                

                                    A
                                

                                    A
                                

                                    A
                                







 


Home


Health Sections

Men
Women
Children
Seniors
Diabetes
Cancer
Asthma
Blood Pressure
Cholesterol
Stroke
Medicine & First Aid
Head & Neck
Heart & Lungs
Digestive System
Bones & Joints
Hormones & Thyroid
Food & Nutrition
Fitness & Exercise
Wellness
Healthcare Financing
Transplant



A-Z Health


Promotions


Events


Media

News
Video















                                    Set font size
                                

                                    A
                                

                                    A
                                

                                    A
                                



 




                Home
            






                Health Sections
            




                            Men
                        



                            Women
                        



                            Children
                        



                            Seniors
                        



                            Diabetes
                        



                            Cancer
                        



                            Asthma
                        



                            Blood Pressure
                        



                            Cholesterol",https://www.healthxchange.sg/diabetes/living-well-diabetes/diabetes-recommended-vaccinations-children-adults,0.88807423,
What are the side effects of diabetes tablets?,"Have any other medical problemsSome Guidelines to Follow When Taking Your Diabetes Pill(s)Know the name and dosage of your diabetic tablet(s).Do not take more or less than what your doctor ordered.Take the tablet(s) at the correct times. Do not make any changes to your medication routine without consulting your doctor. Take your tablet(s) even when you are sick (sometimes the dosage may have to be changed, so do consult your doctor beforehand).Follow your meal plan. It will help your tablet(s) work better. Careless eating may cause the tablet(s) to lose their effect.If you miss a dose of the tablet(s), take it as soon as possible unless it is time for your next dose. In that case, do not take the missed dose and do not double the next one. You should go back to your regular dosage schedule.Check with your doctor or pharmacist before taking any other medicines, including over-the-counter medicines.​Rare Side Effects of Anti-diabetes TabletsPlease inform your doctor if you have the following symptoms:Dark or coloured urineTirednessItchy skin or skin rashLoss of appetiteLight-coloured stoolsUnexplained fever and sore throatIncreased sensitivity to sunlightDiarrhoeaYellowing of eyes or skinNausea or vomitingHeadacheAre Anti-diabetes Tablets Addictive?You can never become addicted to anti-diabetes tablets. This is a common misconception among patients who do not like the idea of taking medication long-term.",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetes-treatment-capsules--tablets,0.898430328,"The side effects of diabetes tablets can vary depending on the specific type of tablet being taken. Some common side effects may include dark or colored urine, tiredness, itchy skin or skin rash, loss of appetite, light-colored stools, unexplained fever and sore throat, increased sensitivity to sunlight, diarrhea, yellowing of eyes or skin, nausea or vomiting, and headache. It is important to inform your doctor if you experience any of these symptoms while taking diabetes tablets. Additionally, it is crucial to follow the guidelines provided by your healthcare provider regarding the dosage and timing of your medication to minimize the risk of side effects."
,"Alcohol interferes with some of these tablets: consult your pharmacist if you are planning to drink alcohol. For example, having alcohol with Chlorpropamide causes side effects like redness and vomiting. 
Biguanides e.g. Metformin (Glucophage®)
Help the body to use glucose more effectively.
Take the tablet(s) with meals or after meals.
a-glucosidase inhibitors eg. Acarbose (Glucobay®)
Help to stop the quick rise of blood glucose after a meal.
Take the tablet(s) with the first mouthful or immediately before each of the three main daily meals.
Meglitinides e.g. Repaglinide (Novonorm®)
Help the pancreas to release more insulin.
Take the tablet before meals.
Thiazolidinediones e.g. Rosiglitazone (Avandia®)
Enhance insulin action and help the body to use glucose more effectively.
Take the tablet with or without food.
Tell Your Doctor if You
Are allergic to any medicines
Are 
            pregnant, or intend to become pregnant
Are 
            breastfeeding​
Are taking any other medicines",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetes-treatment-capsules--tablets,0.872896384,
,"Toggle navigation







 














Login 










X












X










Healthier SG
Health A-Z
Live Healthy
Mental Well-Being
Parent Hub
Health Programmes
Health Services


















HOME




                                            A-Z
                                        





 A


 A


 A




Diabetes Medications
















        Learn about the different diabetes treatment pills available, the guidelines when taking them and more. 
    

Treatment of Diabetes Mellitus: TabletsTreatment of type 2 diabetes begins with diet control. If diet alone is unable to control blood sugar levels, then tablets have to be taken. If both diet and tablets fail to control the blood sugar levels, insulin injections may be needed.

Oral anti-diabetes tablets are used for treating type 2 diabetes.


Type of Tablet
Action
Comment
Sulphonylureas e.g. - Chlorpropamide (Diabinese®) - Glibenclamide (Daonil®) - Gliclazide (Diamicron®) - Tolbutamide (Rastinon®) - Glimepiride (Amaryl®) 
Help the pancreas to release more insulin and the body to use glucose more effectively.


Take the tablet(s) daily immediately after meals (except Gliclazide which is consumed half an hour before meals).
Do not miss or delay meals. Otherwise, your blood sugar level may fall too low.



Sometimes other tablets (e.g. those for blood pressure) can react with anti-diabetes tablets. If in doubt, talk to your doctor or pharmacist.",https://www.healthhub.sg/a-z/diseases-and-conditions/diabetes-treatment-capsules--tablets,0.856391107,
